CHR	START	END	POSCOLOR	PHENOTYPE
4	92764	93745	3	inviable
4	107207	111026	3	inviable
4	114671	115796	3	inviable
4	163451	164042	3	inviable
4	164289	164862	3	inviable
4	164989	167254	3	inviable
4	181188	183018	3	inviable
4	183342	184608	3	inviable
4	188156	190586	3	inviable
4	190923	192258	3	inviable
4	194573	198176	3	inviable
4	199995	201579	3	inviable
4	203038	205108	3	inviable
4	205362	210561	3	inviable
4	211377	212046	2	inviable
4	224303	226748	3	inviable
4	236159	238664	3	inviable
4	245922	246444	3	inviable
4	263315	264110	3	inviable
4	267697	268696	3	inviable
4	272388	273594	3	inviable
4	275150	276581	3	inviable
4	276871	280162	3	inviable
4	284583	285165	3	inviable
4	285393	286695	3	inviable
4	292780	293218	3	inviable
4	300216	300999	3	inviable
4	305236	306574	3	inviable
4	337486	338067	3	inviable
4	341618	343982	3	inviable
4	345664	351034	3	inviable
4	355676	356759	3	inviable
4	372690	373608	3	inviable
4	375682	376480	3	inviable
4	394216	397201	3	inviable
4	397536	399126	3	inviable
4	399339	400635	3	inviable
4	400999	403291	3	inviable
4	424208	425729	3	inviable
4	426004	426934	3	inviable
4	427363	428344	3	inviable
4	433496	433991	3	inviable
4	438046	439357	2	inviable
4	443028	443508	3	inviable
4	444682	446380	3	inviable
4	453044	453647	3	inviable
4	473156	473780	3	inviable
4	478476	478758	3	inviable
4	486803	488000	3	inviable
4	489507	490893	3	inviable
4	525439	527212	3	inviable
4	539802	540411	3	inviable
4	546641	547625	3	inviable
4	547980	548310	3	inviable
4	551859	552945	3	inviable
4	555728	556472	2	inviable
4	558513	560625	3	inviable
4	561442	562327	2	inviable
4	570648	573723	3	inviable
4	576473	578156	3	inviable
4	607306	610081	3	inviable
4	610440	611922	3	inviable
4	616930	617170	3	inviable
4	617472	618306	3	inviable
4	618499	619645	3	inviable
4	626710	628534	3	inviable
4	680498	681617	3	inviable
4	685881	687837	3	inviable
4	734903	739997	3	inviable
4	746737	748354	3	inviable
4	776162	778718	3	inviable
4	782043	784215	3	inviable
4	786308	789221	3	inviable
4	789448	790066	3	inviable
4	790327	791845	3	inviable
4	796195	802222	3	inviable
4	808323	810378	3	inviable
4	816877	817522	3	inviable
4	821294	825773	3	inviable
4	827581	829054	3	inviable
4	836420	838058	3	inviable
4	838391	840389	3	inviable
4	840606	841995	3	inviable
4	850276	850999	3	inviable
4	856316	856811	3	inviable
4	868223	870560	3	inviable
4	884726	886862	2	inviable
4	887231	888908	2	inviable
4	914319	914712	3	inviable
4	921928	923806	3	inviable
4	927451	929095	2	inviable
4	933503	935135	3	inviable
4	935238	935892	3	inviable
4	937897	940816	3	inviable
4	943676	945152	3	inviable
4	948520	950284	3	inviable
4	954287	954944	3	inviable
4	1002512	1003502	3	inviable
4	1020746	1021661	3	inviable
4	1037194	1038103	3	inviable
4	1043148	1045011	3	inviable
4	1059626	1061228	3	inviable
4	1063351	1067422	3	inviable
4	1067730	1068387	3	inviable
4	1068731	1071386	3	inviable
4	1078029	1078449	3	inviable
4	1085064	1086990	3	inviable
4	1108282	1108498	3	inviable
4	1114435	1116763	3	inviable
4	1117125	1120230	3	inviable
4	1125436	1126018	3	inviable
4	1129587	1130820	3	inviable
4	1149953	1150520	3	inviable
4	1151805	1153626	3	inviable
4	1183298	1184255	3	inviable
4	1186106	1188938	3	inviable
4	1195414	1196263	3	inviable
4	1196681	1198697	3	inviable
4	1204499	1206383	3	inviable
4	1212847	1213611	3	inviable
4	1222758	1223328	3	inviable
4	1226821	1228300	3	inviable
4	1236557	1238001	3	inviable
4	1254939	1256847	3	inviable
4	1261680	1262964	3	inviable
4	1266368	1266898	3	inviable
4	1267470	1269399	3	inviable
4	1276656	1277169	3	inviable
4	1284071	1287938	3	inviable
4	1294692	1295397	3	inviable
4	1298431	1301008	3	inviable
4	1322204	1323383	3	inviable
4	1324479	1325301	3	inviable
4	1331236	1332838	3	inviable
4	1337351	1337771	3	inviable
4	1357582	1358902	3	inviable
4	1366266	1366827	3	inviable
4	1383810	1384773	3	inviable
4	1388871	1393176	3	inviable
4	1398028	1398700	3	inviable
4	1403321	1404170	3	inviable
4	1404447	1405854	3	inviable
4	1414574	1415168	3	inviable
4	1428356	1428980	3	inviable
4	1431011	1431893	3	inviable
4	1445845	1446994	3	inviable
4	1447829	1450070	3	inviable
4	1469399	1469702	3	inviable
4	1491093	1492410	3	inviable
4	1498231	1499332	3	inviable
5	43251	44922	3	inviable
5	48473	51539	3	inviable
5	85047	85545	3	inviable
5	85675	86146	3	inviable
5	86936	89849	3	inviable
5	101942	102320	3	inviable
5	120500	121301	3	inviable
5	148724	150014	3	inviable
5	157738	159118	3	inviable
5	162722	164282	3	inviable
5	167810	171818	3	inviable
5	172114	172489	3	inviable
5	177834	178428	3	inviable
5	178840	182275	3	inviable
5	191961	192624	2	inviable
5	196947	198516	3	inviable
5	198811	200872	3	inviable
5	201075	201933	3	inviable
5	205250	206831	3	inviable
5	223369	225199	3	inviable
5	226860	228252	3	inviable
5	235772	237119	3	inviable
5	250717	250999	3	inviable
5	307652	308120	3	inviable
5	324274	325936	3	inviable
5	343322	347612	3	inviable
5	348731	349346	3	inviable
5	366801	367425	3	inviable
5	387231	387792	3	inviable
5	410188	412615	3	inviable
5	413396	414179	2	inviable
5	414480	415551	3	inviable
5	432494	433955	3	inviable
5	439615	440968	2	inviable
5	462584	462863	2	inviable
5	462970	464842	3	inviable
5	465302	466022	3	inviable
5	484787	487190	3	inviable
5	491532	491958	3	inviable
5	510372	512103	3	inviable
5	521031	522669	3	inviable
5	527081	529415	3	inviable
5	529532	536021	3	inviable
6	43630	44392	3	inviable
6	53262	54378	3	inviable
6	55368	55986	3	inviable
6	56335	57706	3	inviable
6	63018	63993	3	inviable
6	78057	79161	2	inviable
6	87849	90345	3	inviable
6	93501	95010	3	inviable
6	103698	103929	3	inviable
6	103985	104462	3	inviable
6	116144	118481	2	inviable
6	119428	123103	3	inviable
6	130333	130978	3	inviable
6	145116	146934	2	inviable
6	150015	152532	3	inviable
6	152659	153124	3	inviable
6	153392	154310	3	inviable
6	154529	155873	3	inviable
6	207451	208294	2	inviable
6	208415	210068	2	inviable
6	210936	212970	3	inviable
6	216596	220106	3	inviable
6	227515	229186	3	inviable
6	238457	239057	3	inviable
6	249068	249866	3	inviable
6	250165	251803	3	inviable
6	252504	253326	3	inviable
7	36932	37523	3	inviable
7	39022	41146	3	inviable
7	49551	52431	3	inviable
7	59121	61851	3	inviable
7	76893	77904	3	inviable
7	98968	102073	3	inviable
7	117856	120907	3	inviable
7	180699	182115	3	inviable
7	182389	184081	3	inviable
7	186058	187336	3	inviable
7	214080	215208	3	inviable
7	221106	225573	3	inviable
7	230242	232345	3	inviable
7	236271	238119	3	inviable
7	249868	252735	3	inviable
7	266144	267521	3	inviable
7	269295	270144	3	inviable
7	277616	278378	3	inviable
7	278948	280523	3	inviable
7	281636	283937	3	inviable
7	289808	291638	3	inviable
7	295931	297935	3	inviable
7	298180	299728	3	inviable
7	299977	301366	3	inviable
7	310966	311924	3	inviable
7	314630	316550	3	inviable
7	317341	318076	3	inviable
7	321781	323227	3	inviable
7	334885	337636	3	inviable
7	337905	341856	3	inviable
7	342058	343042	3	inviable
7	366927	368088	3	inviable
7	368752	371251	3	inviable
7	375086	375668	3	inviable
7	379762	381271	3	inviable
7	388970	389711	3	inviable
7	398627	400157	3	inviable
7	410071	411286	3	inviable
7	411551	412157	3	inviable
7	416148	417036	2	inviable
7	419529	420555	3	inviable
7	439320	439635	3	inviable
7	459112	459664	3	inviable
7	474491	475247	3	inviable
7	479912	482666	3	inviable
7	495455	496502	2	inviable
7	498478	499906	3	inviable
7	504659	505859	3	inviable
7	509049	511002	3	inviable
7	514553	516413	3	inviable
7	531885	532596	3	inviable
7	543552	544202	3	inviable
7	545683	546157	3	inviable
7	584894	586049	3	inviable
7	586394	589469	3	inviable
7	589825	590908	3	inviable
7	610563	611490	2	inviable
7	618079	619858	3	inviable
7	636149	636875	2	inviable
7	644043	644592	3	inviable
7	644862	646815	3	inviable
7	662357	666068	3	inviable
7	666340	667822	3	inviable
7	672185	675497	3	inviable
7	675673	676342	2	inviable
7	682568	687458	3	inviable
7	687898	689962	3	inviable
7	695416	697231	3	inviable
7	718892	719921	3	inviable
7	720408	724761	3	inviable
7	728048	729671	3	inviable
7	730035	730821	3	inviable
7	747952	750091	3	inviable
7	767428	770296	3	inviable
7	781766	783887	3	inviable
7	786056	786920	3	inviable
7	800545	801820	3	inviable
7	805271	806021	3	inviable
7	842847	843591	3	inviable
7	846935	848423	3	inviable
7	853677	854895	3	inviable
7	866338	867520	3	inviable
7	867773	869978	2	inviable
7	880419	882228	3	inviable
7	888881	889619	3	inviable
7	894692	897143	3	inviable
7	915240	916698	3	inviable
7	922635	924462	3	inviable
7	932540	935792	3	inviable
7	979767	982068	3	inviable
7	982484	984272	3	inviable
7	995638	996226	3	inviable
7	998360	999140	2	inviable
7	1019600	1021853	3	inviable
7	1025006	1025735	3	inviable
7	1039897	1043095	3	inviable
7	1045646	1046561	3	inviable
7	1046730	1048461	3	inviable
7	1050912	1051725	3	inviable
8	75411	75774	2	inviable
8	115622	115901	3	inviable
8	120093	121683	3	inviable
8	141896	143558	3	inviable
8	143995	146059	3	inviable
8	151665	157449	3	inviable
8	157746	159192	3	inviable
8	180344	181757	3	inviable
8	187923	189021	3	inviable
8	190542	192615	3	inviable
8	218999	219884	3	inviable
8	222879	223758	3	inviable
8	227534	229037	3	inviable
8	232132	233293	2	inviable
8	233581	234658	2	inviable
8	234880	236377	2	inviable
8	239097	241290	3	inviable
8	241663	241837	3	inviable
8	246192	248334	3	inviable
8	272626	273613	3	inviable
8	276763	277765	3	inviable
8	281494	282379	3	inviable
8	314876	315968	3	inviable
8	326815	328036	3	inviable
8	344323	345628	3	inviable
8	353624	354317	3	inviable
8	362114	362762	3	inviable
8	387232	387442	3	inviable
8	393533	394082	3	inviable
8	424612	429178	3	inviable
8	437172	439050	3	inviable
8	443827	445381	3	inviable
8	448334	450803	3	inviable
8	476001	480672	3	inviable
8	482007	483837	3	inviable
8	484844	486176	3	inviable
8	491930	493655	3	inviable
8	493895	496184	3	inviable
9	61015	62728	3	inviable
9	69793	73453	3	inviable
9	78073	80146	3	inviable
9	80512	83041	3	inviable
9	83301	84882	3	inviable
9	106109	113237	3	inviable
9	117991	122068	3	inviable
9	139751	140444	3	inviable
9	144329	148709	3	inviable
9	157387	160165	3	inviable
9	166414	167441	3	inviable
9	169984	171505	2	inviable
9	191032	193195	3	inviable
9	203558	204653	3	inviable
9	212498	214700	3	inviable
9	217865	220700	3	inviable
9	233059	235474	3	inviable
9	242763	243744	3	inviable
9	244000	244462	3	inviable
9	244659	245559	3	inviable
9	257845	258280	3	inviable
9	261436	264889	3	inviable
9	268650	270570	3	inviable
9	292632	295734	3	inviable
9	304479	307929	3	inviable
9	311164	312457	3	inviable
9	312904	313858	3	inviable
9	315092	316130	3	inviable
9	347948	348365	3	inviable
9	349121	350000	3	inviable
9	365468	369908	3	inviable
9	373079	374306	3	inviable
9	375430	377158	3	inviable
9	377289	378246	3	inviable
9	378485	379778	3	inviable
9	381947	382379	3	inviable
9	398732	399233	3	inviable
10	53340	54180	3	inviable
10	69337	70876	3	inviable
10	95091	95919	3	inviable
10	96163	96529	3	inviable
10	105013	106069	3	inviable
10	126855	128952	3	inviable
10	147100	147574	3	inviable
10	185530	186679	3	inviable
10	207876	209526	3	inviable
10	212002	217309	3	inviable
10	227326	227773	3	inviable
10	245590	246241	3	inviable
10	261082	262552	3	inviable
10	262759	265051	3	inviable
10	270004	272485	3	inviable
10	272826	274695	3	inviable
10	283804	285271	3	inviable
10	295244	298811	3	inviable
10	299159	302849	3	inviable
10	305223	305862	3	inviable
10	310924	312706	3	inviable
10	320015	322154	3	inviable
10	334264	335698	3	inviable
10	342521	345740	3	inviable
10	365901	368370	3	inviable
10	368750	373799	3	inviable
10	380251	381001	3	inviable
10	381326	383372	3	inviable
10	383836	386146	3	inviable
10	386370	387351	3	inviable
10	392403	393600	3	inviable
10	393966	395508	2	inviable
10	402896	404942	3	inviable
10	407557	409159	3	inviable
10	414287	414770	3	inviable
10	417564	419562	3	inviable
10	419959	421663	3	inviable
10	425156	431234	3	inviable
10	433223	434651	3	inviable
10	435162	435923	3	inviable
10	438864	440643	3	inviable
10	449201	450662	3	inviable
10	451019	451931	3	inviable
10	460381	461590	2	inviable
10	464453	466208	3	inviable
10	466523	467033	2	inviable
10	469783	470110	3	inviable
10	510241	513763	3	inviable
10	514054	516286	3	inviable
10	519640	521602	3	inviable
10	522047	523859	3	inviable
10	544061	544709	3	inviable
10	555913	557599	3	inviable
10	557811	559158	3	inviable
10	567021	567444	3	inviable
10	567642	568701	3	inviable
10	570969	572124	3	inviable
10	575356	576601	3	inviable
10	603222	604203	3	inviable
10	637029	637632	3	inviable
10	651900	652575	3	inviable
10	695905	696946	3	inviable
11	39162	42234	3	inviable
11	55937	63359	3	inviable
11	74934	75534	2	inviable
11	75820	77029	3	inviable
11	78868	79882	3	inviable
11	80162	80537	3	inviable
11	84703	85900	3	inviable
11	92746	93298	3	inviable
11	100670	106823	3	inviable
11	109268	110126	3	inviable
11	122516	125540	3	inviable
11	125758	127039	3	inviable
11	137934	140691	3	inviable
11	161600	162332	3	inviable
11	163644	164385	3	inviable
11	174212	175613	3	inviable
11	175845	176481	3	inviable
11	179666	180260	2	inviable
11	184805	185012	3	inviable
11	208246	210127	3	inviable
11	212497	212998	3	inviable
11	226569	228762	3	inviable
11	234425	235784	3	inviable
11	243222	245373	3	inviable
11	255722	256472	3	inviable
11	262276	263110	3	inviable
11	273393	275040	3	inviable
11	275282	276995	3	inviable
11	281027	282329	3	inviable
11	288844	291049	3	inviable
11	326410	327487	3	inviable
11	328120	329443	3	inviable
11	330165	330531	3	inviable
11	339670	340546	3	inviable
11	346077	346764	3	inviable
11	353492	355076	3	inviable
11	358474	359563	3	inviable
11	369890	371387	3	inviable
11	375455	378569	3	inviable
11	385757	387203	3	inviable
11	392528	393140	3	inviable
11	394728	397248	3	inviable
11	397346	398750	3	inviable
11	402567	403515	3	inviable
11	404101	405088	3	inviable
11	411621	416913	2	inviable
11	417510	418023	3	inviable
11	418309	420058	3	inviable
11	430200	430632	3	inviable
11	435579	436782	3	inviable
11	443231	444935	3	inviable
11	446801	448036	3	inviable
11	452200	454075	3	inviable
11	482173	483139	3	inviable
11	487769	488615	2	inviable
11	510912	511797	2	inviable
11	512001	513159	2	inviable
11	559665	560649	3	inviable
11	560791	562297	3	inviable
11	570330	570909	3	inviable
11	574936	575980	3	inviable
11	586791	589305	3	inviable
11	591508	592540	3	inviable
11	596423	596822	3	inviable
11	599856	603069	3	inviable
12	39806	40223	3	inviable
12	66747	68256	3	inviable
12	68579	70475	3	inviable
12	70635	73146	3	inviable
12	77154	80205	3	inviable
12	109904	111575	3	inviable
12	127522	128989	3	inviable
12	131728	133984	3	inviable
12	141072	142920	3	inviable
12	143200	146038	3	inviable
12	154345	156334	3	inviable
12	160048	161431	3	inviable
12	164391	165399	3	inviable
12	165579	166083	3	inviable
12	166536	167133	3	inviable
12	167322	167802	3	inviable
12	184176	184926	3	inviable
12	195452	196472	3	inviable
12	201978	202590	3	inviable
12	208760	210266	3	inviable
12	235039	237703	3	inviable
12	246326	246977	3	inviable
12	260978	262763	3	inviable
12	267168	267720	3	inviable
12	275380	278626	3	inviable
12	282926	283589	3	inviable
12	285738	286467	3	inviable
12	302242	306496	3	inviable
12	316106	317948	3	inviable
12	341324	341585	3	inviable
12	341809	342850	3	inviable
12	343991	345941	3	inviable
12	347049	348180	3	inviable
12	349008	363738	3	inviable
12	377984	380561	3	inviable
12	380821	382249	3	inviable
12	382473	384534	3	inviable
12	395760	398319	3	inviable
12	399656	402485	3	inviable
12	407285	408155	3	inviable
12	423682	424771	2	inviable
12	432167	432770	3	inviable
12	434160	434463	3	inviable
12	445526	447575	3	inviable
12	491868	493254	3	inviable
12	495431	498044	3	inviable
12	498946	499402	3	inviable
12	506133	507582	3	inviable
12	523631	524387	3	inviable
12	541939	543304	3	inviable
12	543967	545695	3	inviable
12	546096	547608	3	inviable
12	559550	560441	3	inviable
12	564862	566281	3	inviable
12	570778	571858	3	inviable
12	579320	581771	3	inviable
12	582235	585490	3	inviable
12	604214	604787	2	inviable
12	624202	625018	3	inviable
12	636779	639911	3	inviable
12	663286	665002	3	inviable
12	683674	687202	3	inviable
12	691554	693879	3	inviable
12	694470	694797	3	inviable
12	695048	696830	3	inviable
12	697158	699495	3	inviable
12	718319	719462	3	inviable
12	720773	721430	3	inviable
12	724723	725416	3	inviable
12	738163	743863	3	inviable
12	752226	756993	3	inviable
12	762577	764137	3	inviable
12	765268	766358	3	inviable
12	776586	777864	3	inviable
12	778175	778952	3	inviable
12	799699	802396	3	inviable
12	805886	806822	3	inviable
12	823830	826413	3	inviable
12	838068	839253	3	inviable
12	844281	845727	3	inviable
12	875738	877178	3	inviable
12	912552	914892	3	inviable
12	934416	937233	3	inviable
12	973394	975518	3	inviable
12	993433	1000126	3	inviable
12	1013911	1014178	2	inviable
12	1015570	1017697	2	inviable
12	1055814	1056771	3	inviable
12	1057333	1058515	2	inviable
13	11485	13174	3	inviable
13	17063	18806	3	inviable
13	19062	20535	2	inviable
13	20763	21699	3	inviable
13	42045	43575	3	inviable
13	57868	58687	3	inviable
13	77266	77767	3	inviable
13	83089	85786	3	inviable
13	85989	86739	3	inviable
13	87125	90731	3	inviable
13	97943	99400	3	inviable
13	111864	112341	3	inviable
13	135499	137155	3	inviable
13	142209	144951	3	inviable
13	145141	145876	3	inviable
13	174222	178305	3	inviable
13	181473	183360	2	inviable
13	190246	191767	2	inviable
13	214188	216153	3	inviable
13	224408	225365	3	inviable
13	226996	228664	2	inviable
13	241991	243029	3	inviable
13	247676	250865	3	inviable
13	269021	271136	3	inviable
13	276044	277208	3	inviable
13	295181	296738	3	inviable
13	327481	328579	3	inviable
13	337787	339274	3	inviable
13	353870	354728	3	inviable
13	363366	366705	3	inviable
13	368096	370517	3	inviable
13	391098	391482	3	inviable
13	392754	394785	3	inviable
13	416198	420029	3	inviable
13	425153	426056	3	inviable
13	454014	455553	3	inviable
13	455824	457258	3	inviable
13	494102	494495	3	inviable
13	494998	496279	3	inviable
13	501252	501891	3	inviable
13	523695	527496	3	inviable
13	533165	534698	3	inviable
13	537837	538548	3	inviable
13	557483	558524	3	inviable
13	560995	561853	2	inviable
13	597334	599158	3	inviable
13	629024	631967	3	inviable
13	658547	659198	3	inviable
13	664751	665519	3	inviable
13	668491	669652	3	inviable
13	684466	685795	3	inviable
13	689082	690507	3	inviable
13	693380	695150	3	inviable
13	703581	706887	3	inviable
13	712315	713668	3	inviable
13	722615	724385	3	inviable
13	725936	731123	3	inviable
13	741514	742735	3	inviable
13	742970	743441	3	inviable
13	748264	749677	3	inviable
13	749932	751240	3	inviable
13	789380	789839	3	inviable
13	802890	804222	3	inviable
13	805328	806423	3	inviable
13	820255	822451	3	inviable
13	832338	833250	3	inviable
13	845570	848483	3	inviable
13	850076	851591	3	inviable
13	859217	860891	2	inviable
13	863818	864268	3	inviable
13	867557	869627	3	inviable
13	888954	892221	3	inviable
13	892990	895426	3	inviable
13	901708	902410	3	inviable
14	40618	42013	3	inviable
14	45310	48022	3	inviable
14	48397	49213	3	inviable
14	51909	52431	3	inviable
14	54124	55897	3	inviable
14	58154	58805	3	inviable
14	86217	87237	3	inviable
14	91993	94798	3	inviable
14	107686	108271	3	inviable
14	126807	129084	3	inviable
14	140877	144075	3	inviable
14	146898	147840	3	inviable
14	148211	154877	3	inviable
14	155099	156536	3	inviable
14	156861	157455	3	inviable
14	158111	160373	3	inviable
14	164622	167094	3	inviable
14	172590	174315	3	inviable
14	182874	185175	3	inviable
14	186348	186885	3	inviable
14	187172	187496	2	inviable
14	198504	199977	3	inviable
14	214922	215798	3	inviable
14	229093	229711	3	inviable
14	231070	233695	3	inviable
14	241688	244169	3	inviable
14	255352	256627	3	inviable
14	284259	285885	3	inviable
14	286307	287606	3	inviable
14	295962	297627	3	inviable
14	298334	299555	3	inviable
14	302679	303399	3	inviable
14	310635	315879	3	inviable
14	326743	330073	3	inviable
14	331833	332151	2	inviable
14	332596	334864	3	inviable
14	339611	340205	3	inviable
14	346312	347539	3	inviable
14	347768	348521	3	inviable
14	349369	349756	3	inviable
14	366154	366409	3	inviable
14	368597	370055	3	inviable
14	375320	378488	3	inviable
14	378766	379222	3	inviable
14	387226	389764	3	inviable
14	392891	394367	3	inviable
14	402654	405564	3	inviable
14	412770	413196	2	inviable
14	413638	416278	2	inviable
14	417828	418488	3	inviable
14	427734	429750	3	inviable
14	430086	434490	3	inviable
14	457703	461987	3	inviable
14	485606	486476	3	inviable
14	508778	510212	3	inviable
14	510539	512393	3	inviable
14	555047	556829	2	inviable
14	557019	557780	3	inviable
14	581919	583371	3	inviable
14	586604	586820	3	inviable
14	618509	619565	3	inviable
14	620066	620975	3	inviable
14	626176	627142	3	inviable
14	634346	635297	3	inviable
14	644322	646950	3	inviable
14	654675	661374	3	inviable
14	662912	663578	3	inviable
14	673276	674689	3	inviable
14	693021	694047	2	inviable
14	695594	697481	3	inviable
14	701894	703082	3	inviable
14	707787	708192	3	inviable
14	721122	723112	3	inviable
14	723358	724306	3	inviable
15	44937	45630	3	inviable
15	48863	49445	3	inviable
15	53097	54549	3	inviable
15	60385	61024	3	inviable
15	69378	70044	3	inviable
15	70324	70687	3	inviable
15	74399	76976	3	inviable
15	80773	81187	3	inviable
15	87843	89445	3	inviable
15	93397	94402	3	inviable
15	125999	126689	3	inviable
15	136529	137825	3	inviable
15	141586	142555	3	inviable
15	181681	185209	3	inviable
15	185850	186723	3	inviable
15	198941	200294	3	inviable
15	202698	204471	3	inviable
15	253151	253577	2	inviable
15	255336	256098	3	inviable
15	259922	263201	3	inviable
15	274014	274353	3	inviable
15	280274	281498	2	inviable
15	282423	285426	3	inviable
15	307937	309038	3	inviable
15	315815	316175	3	inviable
15	333591	334353	3	inviable
15	370526	370844	3	inviable
15	414461	415907	3	inviable
15	418632	421650	3	inviable
15	430249	431626	3	inviable
15	432185	433370	3	inviable
15	440392	441163	3	inviable
15	444685	445846	3	inviable
15	466677	467589	3	inviable
15	468211	469249	3	inviable
15	471898	472594	3	inviable
15	503554	504328	3	inviable
15	507950	511178	3	inviable
15	516451	516841	3	inviable
15	539765	544145	3	inviable
15	545028	546330	3	inviable
15	548794	550246	3	inviable
15	552300	552666	3	inviable
15	601385	602342	3	inviable
15	608642	609197	3	inviable
15	609840	611388	3	inviable
15	612999	616671	3	inviable
15	630968	631751	3	inviable
15	633284	633566	3	inviable
15	633838	636754	3	inviable
15	649302	651729	3	inviable
15	658746	659598	3	inviable
15	662400	663579	2	inviable
15	675938	677837	2	inviable
15	711685	712543	3	inviable
15	722910	724722	3	inviable
15	727511	729641	3	inviable
15	730010	733457	3	inviable
15	738319	738529	3	inviable
15	749300	751883	3	inviable
15	760827	761265	3	inviable
15	774572	775256	3	inviable
15	780905	781538	3	inviable
15	792530	793865	3	inviable
15	798676	800731	3	inviable
15	800972	802307	3	inviable
15	805034	807023	3	inviable
15	808256	810683	3	inviable
15	811007	811490	3	inviable
15	812397	813708	3	inviable
15	813983	815717	3	inviable
15	815917	816931	3	inviable
15	817291	818332	3	inviable
15	832812	834192	3	inviable
15	842816	843641	3	inviable
15	846271	847129	3	inviable
15	850939	851839	3	inviable
15	868339	868948	3	inviable
15	896827	898360	3	inviable
15	912821	913460	3	inviable
15	925720	930442	3	inviable
15	936733	939349	3	inviable
15	946235	949109	3	inviable
15	949772	953867	3	inviable
15	959204	960182	3	inviable
15	960986	965978	3	inviable
15	998455	1000828	3	inviable
15	1015363	1017652	3	inviable
15	1017882	1018746	3	inviable
15	1029185	1030994	3	inviable
15	1034809	1036471	3	inviable
15	1036833	1039386	3	inviable
16	39120	40074	3	inviable
16	67724	68879	3	inviable
16	73365	73881	3	inviable
16	88516	90313	3	inviable
16	90624	95109	3	inviable
16	100495	101350	3	inviable
16	103231	104644	3	inviable
16	106171	106819	3	inviable
16	108651	114312	3	inviable
16	118381	120028	3	inviable
16	138697	139406	2	inviable
16	139622	143171	3	inviable
16	153494	154037	3	inviable
16	154292	156212	3	inviable
16	156492	157593	3	inviable
16	164275	165757	2	inviable
16	185319	187725	3	inviable
16	218747	220085	3	inviable
16	229041	230838	3	inviable
16	246989	250259	3	inviable
16	261729	264192	3	inviable
16	266182	267535	3	inviable
16	276164	277529	3	inviable
16	282121	282967	3	inviable
16	303120	304011	3	inviable
16	306535	308221	2	inviable
16	310209	312897	3	inviable
16	316754	317513	3	inviable
16	319228	320767	3	inviable
16	327866	328730	3	inviable
16	369841	370663	3	inviable
16	370977	372918	3	inviable
16	387066	393651	3	inviable
16	396704	398105	2	inviable
16	398482	404083	3	inviable
16	410442	411282	3	inviable
16	413013	415359	3	inviable
16	429938	431366	3	inviable
