1305	AF293|CM000169.1_3816219_3818225	AF10|AFXL01000032.1_131328_133334	AF210|AFXM01000301.1_98324_100330	A1163|DS499594.1_3884090_3886096	Z5|KQ087359.1_992938_994944	RP2014|JHOI01000565.1_117711_119717	LMB35AA|MCQI02000122.1_63368_65374	JCM10253|BCGY01000005.1_1588468_1590474	ISSFT021|LWRT01000211.1_6643_8649	IF1SWF4|LWRU01000040.1_97980_99986	----------	HMRAF270|NKHT01000056.1_80694_82700
9623	AF293|CM000176.1_642053_642838	AF10|AFXL01000159.1_21142_21927	AF210|AFXM01000241.1_112355_113140	A1163|DS499600.1_1294282_1295067	Z5|KQ087367.1_1240858_1241643	----------	LMB35AA|MCQI02000187.1_37508_38293	JCM10253|BCGY01000006.1_1254455_1255240	ISSFT021|LWRT01000039.1_81917_82702	IF1SWF4|LWRU01000204.1_53505_54290	----------	HMRAF270|NKHT01000208.1_40495_41280
3322	AF293|CM000170.1_4813533_4818844	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
3324	AF293|CM000170.1_4839414_4843962	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10213	----------	AF10|AFXL01000220.1_9840_11180	----------	----------	----------	----------	----------	----------	ISSFT021|LWRT01000221.1_44332_45672	----------	----------	----------
3040	AF293|CM000170.1_4051226_4052725	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
5504	AF293|CM000172.1_2424072_2425679	AF10|AFXL01000100.1_69406_71006	AF210|AFXM01000233.1_69413_71008	A1163|DS499598.1_978951_980541	Z5|KQ087375.1_1012057_1013653	RP2014|JHOI01000424.1_14100_15590	----------	JCM10253|BCGY01000003.1_1649024_1650627	ISSFT021|LWRT01000215.1_49747_51351	IF1SWF4|LWRU01000013.1_69368_70856	----------	HMRAF270|NKHT01000133.1_204_1721
10692	----------	----------	----------	----------	Z5|KQ087367.1_10_2796	----------	----------	----------	----------	----------	----------	----------
4600	AF293|CM000171.1_3670718_3672217	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10514	----------	----------	----------	A1163|DS499598.1_2409900_2410625	----------	----------	----------	JCM10253|BCGY01000007.1_1931355_1932080	----------	----------	----------	----------
9576	AF293|CM000176.1_498611_500185	----------	AF210|AFXM01000223.1_765_2340	A1163|DS499600.1_1454665_1456239	Z5|KQ087367.1_1409061_1410636	RP2014|JHOI01000580.1_71018_72593	LMB35AA|MCQI02000071.1_782_2357	JCM10253|BCGY01000006.1_1411515_1413090	ISSFT021|LWRT01000039.1_240151_241725	IF1SWF4|LWRU01000190.1_102854_104428	----------	HMRAF270|NKHT01000178.1_697_2272
5988	AF293|CM000172.1_3802826_3804923	AF10|AFXL01000229.1_16144_18243	AF210|AFXM01000171.1_8526_10368	A1163|DS499598.1_2503237_2505336	Z5|KQ087368.1_319192_321034	----------	----------	JCM10253|BCGY01000015.1_35177_35491	ISSFT021|LWRT01000067.1_207152_207466	IF1SWF4|LWRU01000028.1_36847_37161	HMRAF706|NKHS01000353.1_16192_16506	HMRAF270|NKHT01000199.1_2847_4941
10186	----------	AF10|AFXL01000182.1_29968_31067	----------	A1163|DS499596.1_4123461_4124560	----------	----------	----------	----------	ISSFT021|LWRT01000191.1_41103_42202	IF1SWF4|LWRU01000197.1_135788_136887	HMRAF706|NKHS01000024.1_121033_122132	----------
20	AF293|CM000169.1_55778_58055	AF10|AFXL01000169.1_37337_39569	----------	----------	----------	----------	----------	----------	ISSFT021|LWRT01000221.1_139216_141801	----------	----------	HMRAF270|NKHT01000055.1_61031_63305
7020	AF293|CM000173.1_2809676_2811693	AF10|AFXL01000019.1_239739_246401	AF210|AFXM01000219.1_38466_45128	A1163|DS499597.1_2708510_2715171	Z5|KQ087363.1_2801589_2803564	RP2014|JHOI01000598.1_62501_64476	LMB35AA|MCQI02000227.1_535803_537778	JCM10253|BCGY01000002.1_1045732_1052395	ISSFT021|LWRT01000042.1_29405_31423	IF1SWF4|LWRU01000103.1_60795_67456	----------	HMRAF270|NKHT01000102.1_29656_36317
8090	AF293|CM000174.1_1961167_1962908	AF10|AFXL01000146.1_45493_47234	AF210|AFXM01000439.1_323966_325710	A1163|DS499599.1_618672_620413	Z5|KQ087358.1_667204_668948	RP2014|JHOI01000593.1_25655_27397	LMB35AA|MCQI02000165.1_501847_503589	JCM10253|BCGY01000009.1_655848_657589	ISSFT021|LWRT01000074.1_23487_25231	IF1SWF4|LWRU01000111.1_449072_450816	HMRAF706|NKHS01000199.1_1062_2803	----------
8351	AF293|CM000174.1_2680639_2682309	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
9369	AF293|CM000175.1_1973397_1974756	----------	----------	A1163|DS499602.1_1551557_1552913	----------	RP2014|JHOI01000270.1_50_866	LMB35AA|MCQI02000045.1_48341_49157	----------	----------	----------	----------	HMRAF270|NKHT01000094.1_80544_81903
1779	AF293|CM000170.1_306147_314706	AF10|AFXL01000005.1_67731_76290	AF210|AFXM01000207.1_62261_70820	A1163|DS499595.1_298439_306998	Z5|KQ087359.1_297471_306030	RP2014|JHOI01000472.1_27740_36299	----------	JCM10253|BCGY01000008.1_1480624_1489183	ISSFT021|LWRT01000073.1_115993_124552	IF1SWF4|LWRU01000094.1_298310_306869	HMRAF706|NKHS01000101.1_1618_10177	HMRAF270|NKHT01000173.1_34303_42862
5987	AF293|CM000172.1_3800450_3801934	----------	----------	----------	----------	----------	----------	----------	----------	----------	HMRAF706|NKHS01000353.1_11831_13315	----------
8099	AF293|CM000174.1_1986237_1987987	AF10|AFXL01000021.1_40161_41911	AF210|AFXM01000439.1_298875_300625	A1163|DS499599.1_643738_645488	Z5|KQ087358.1_692297_694047	RP2014|JHOI01000593.1_83_1830	LMB35AA|MCQI02000165.1_527411_529158	JCM10253|BCGY01000009.1_630772_632522	----------	IF1SWF4|LWRU01000111.1_474128_475878	HMRAF706|NKHS01000112.1_55707_57457	----------
9282	AF293|CM000175.1_1614140_1615945	AF10|AFXL01000060.1_95689_97494	AF210|AFXM01000202.1_88852_90657	A1163|DS499601.1_1617805_1619610	Z5|KQ087369.1_854832_856637	RP2014|JHOI01000517.1_1149_2953	LMB35AA|MCQI02000065.1_55006_56810	JCM10253|BCGY01000012.1_818393_820197	ISSFT021|LWRT01000279.1_70514_72319	IF1SWF4|LWRU01000201.1_515743_517548	----------	HMRAF270|NKHT01000046.1_63526_65331
10295	----------	----------	AF210|AFXM01000206.1_55897_56158	----------	Z5|KQ087362.1_2056728_2059865	----------	----------	JCM10253|BCGY01000001.1_3228558_3228819	----------	----------	----------	HMRAF270|NKHT01000036.1_132856_133117
3864	AF293|CM000171.1_1582750_1584037	----------	AF210|AFXM01000185.1_49046_50230	A1163|DS499596.1_2463153_2464440	Z5|KQ087362.1_2516828_2518115	RP2014|JHOI01000625.1_149388_150573	LMB35AA|MCQI02000084.1_216757_217942	JCM10253|BCGY01000001.1_3687420_3688604	ISSFT021|LWRT01000260.1_94429_95614	IF1SWF4|LWRU01000199.1_340900_342187	HMRAF706|NKHS01000511.1_2794_4081	HMRAF270|NKHT01000003.1_238852_240138
1468	AF293|CM000169.1_4337264_4337631	AF10|AFXL01000056.1_40364_40731	AF210|AFXM01000297.1_128931_129298	A1163|DS499594.1_4406854_4407221	Z5|KQ087371.1_231717_232084	----------	----------	JCM10253|BCGY01000005.1_2117376_2117743	ISSFT021|LWRT01000227.1_17818_18185	IF1SWF4|LWRU01000087.1_369042_369409	HMRAF706|NKHS01000168.1_12084_12451	HMRAF270|NKHT01000391.1_5818_6185
10586	----------	----------	----------	A1163|DS499602.1_1338995_1340422	----------	RP2014|JHOI01000486.1_50065_51492	LMB35AA|MCQI02000177.1_35006_36433	----------	----------	----------	----------	----------
9933	AF293|CM000176.1_1536469_1536966	AF10|AFXL01000005.1_316645_318022	----------	A1163|DS499599.1_2034124_2035501	Z5|KQ087367.1_71826_73203	----------	----------	JCM10253|BCGY01000006.1_339842_341219	----------	----------	----------	----------
8	AF293|CM000169.1_13957_14538	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
9931	AF293|CM000176.1_1533833_1534599	AF10|AFXL01000005.1_319900_321516	----------	A1163|DS499599.1_2031485_2032252	Z5|KQ087367.1_75081_76696	----------	----------	JCM10253|BCGY01000006.1_343097_344712	----------	----------	----------	----------
7698	AF293|CM000174.1_787986_789370	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
7518	AF293|CM000174.1_262423_264361	AF10|AFXL01000227.1_12606_14546	AF210|AFXM01000260.1_23566_25509	A1163|DS499602.1_1041099_1043038	Z5|KQ087373.1_1027933_1029876	----------	LMB35AA|MCQI02000079.1_373323_375281	JCM10253|BCGY01000010.1_1030912_1032855	ISSFT021|LWRT01000263.1_30694_32633	IF1SWF4|LWRU01000152.1_75717_77657	HMRAF706|NKHS01000498.1_1609_3549	HMRAF270|NKHT01000302.1_4508_6451
9378	AF293|CM000175.1_2002660_2004290	----------	----------	A1163|DS499602.1_1443870_1445500	----------	----------	----------	----------	----------	----------	----------	----------
10523	----------	----------	----------	A1163|DS499598.1_2454767_2455399	----------	----------	----------	JCM10253|BCGY01000006.1_169566_170197	----------	----------	----------	----------
10059	----------	AF10|AFXL01000021.1_9010_10278	----------	----------	----------	----------	----------	----------	ISSFT021|LWRT01000011.1_102481_103749	----------	----------	HMRAF270|NKHT01000105.1_29790_31058
10353	----------	----------	AF210|AFXM01000294.1_14740_16843	A1163|DS499600.1_71593_73696	Z5|KQ087364.1_513329_515432	----------	----------	----------	----------	----------	----------	----------
10725	----------	----------	----------	----------	Z5|KQ087367.1_123577_124303	----------	----------	----------	----------	----------	----------	----------
4337	AF293|CM000171.1_2934273_2935829	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
9373	AF293|CM000175.1_1982603_1984289	AF10|AFXL01000086.1_42006_43692	----------	A1163|DS499602.1_1423811_1425499	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000094.1_71011_72697
9372	AF293|CM000175.1_1979716_1981342	AF10|AFXL01000086.1_39119_40745	----------	A1163|DS499602.1_1420926_1422552	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000094.1_73958_75584
10359	----------	----------	AF210|AFXM01000294.1_29600_30774	A1163|DS499600.1_57684_58866	Z5|KQ087364.1_528289_529463	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000094.1_56773_57955
10528	----------	----------	----------	A1163|DS499598.1_2463122_2464618	----------	----------	----------	----------	----------	----------	----------	----------
6914	AF293|CM000173.1_2538755_2542078	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
6399	AF293|CM000173.1_971698_973245	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
1953	AF293|CM000170.1_773239_774337	----------	AF210|AFXM01000144.1_1954_3052	A1163|DS499595.1_765502_766600	Z5|KQ087365.1_135625_136723	RP2014|JHOI01000632.1_108343_109441	LMB35AA|MCQI02000082.1_562977_564075	JCM10253|BCGY01000008.1_1022922_1024020	ISSFT021|LWRT01000045.1_135589_136687	IF1SWF4|LWRU01000191.1_141647_142745	HMRAF706|NKHS01000618.1_496_1594	HMRAF270|NKHT01000131.1_62412_63510
10119	----------	AF10|AFXL01000086.1_10_274	----------	A1163|DS499600.1_117216_117939	Z5|KQ087364.1_469353_470076	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000147.1_33278_33906
10444	----------	----------	AF210|AFXM01000439.1_5951_11683	----------	Z5|KQ087358.1_951653_957385	RP2014|JHOI01000614.1_177965_183553	LMB35AA|MCQI02000165.1_773005_778598	JCM10253|BCGY01000009.1_364671_370403	ISSFT021|LWRT01000241.1_48_3108	IF1SWF4|LWRU01000194.1_153320_159052	----------	----------
15	AF293|CM000169.1_36281_37475	AF10|AFXL01000169.1_18935_20129	----------	A1163|DS499602.1_1341113_1342226	----------	RP2014|JHOI01000486.1_48260_49373	LMB35AA|MCQI02000177.1_37124_38237	----------	ISSFT021|LWRT01000221.1_157850_159044	----------	----------	HMRAF270|NKHT01000055.1_41533_42727
3491	AF293|CM000171.1_436291_437189	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
3562	AF293|CM000171.1_597475_598283	AF10|AFXL01000138.1_7274_8082	AF210|AFXM01000257.1_198271_199079	A1163|DS499596.1_3520733_3521541	Z5|KQ087364.1_827089_827897	RP2014|JHOI01000632.1_20228_21036	LMB35AA|MCQI02000161.1_418447_419255	----------	ISSFT021|LWRT01000191.1_653536_654344	IF1SWF4|LWRU01000114.1_67516_68324	HMRAF706|NKHS01000337.1_20352_21160	HMRAF270|NKHT01000340.1_20446_21254
10965	----------	----------	----------	----------	----------	----------	----------	JCM10253|BCGY01000006.1_647932_648946	----------	----------	----------	----------
4731	AF293|CM000171.1_4002780_4004019	AF10|AFXL01000018.1_258148_259387	AF210|AFXM01000309.1_57919_59158	A1163|DS499596.1_59385_60624	Z5|KQ087376.1_183403_184642	----------	LMB35AA|MCQI02000143.1_32703_33942	JCM10253|BCGY01000009.1_54461_55700	ISSFT021|LWRT01000214.1_677445_678684	IF1SWF4|LWRU01000116.1_56300_57539	HMRAF706|NKHS01000118.1_24120_25359	HMRAF270|NKHT01000141.1_33941_35180
3566	AF293|CM000171.1_619105_620787	AF10|AFXL01000124.1_72097_73779	----------	A1163|DS499596.1_3495165_3496847	----------	----------	----------	----------	ISSFT021|LWRT01000191.1_678174_679856	IF1SWF4|LWRU01000180.1_31006_32688	HMRAF706|NKHS01000224.1_10117_11799	----------
4737	AF293|CM000171.1_4018092_4019150	AF10|AFXL01000018.1_273460_274518	AF210|AFXM01000309.1_73231_74289	A1163|DS499596.1_44254_45312	Z5|KQ087376.1_198715_199773	----------	LMB35AA|MCQI02000143.1_17571_18629	JCM10253|BCGY01000009.1_39330_40388	ISSFT021|LWRT01000214.1_692758_693816	IF1SWF4|LWRU01000116.1_41168_42226	HMRAF706|NKHS01000118.1_39433_40491	HMRAF270|NKHT01000141.1_49253_50311
2951	AF293|CM000170.1_3783932_3784880	AF10|AFXL01000122.1_45890_46842	AF210|AFXM01000370.1_8210_9157	A1163|DS499595.1_3757034_3757986	Z5|KQ087360.1_1021192_1022145	RP2014|JHOI01000483.1_45911_46862	LMB35AA|MCQI02000131.1_1752020_1752972	JCM10253|BCGY01000004.1_1006743_1007691	ISSFT021|LWRT01000218.1_58247_59199	IF1SWF4|LWRU01000118.1_229941_230891	HMRAF706|NKHS01000138.1_45891_46841	----------
9901	AF293|CM000176.1_1465694_1466631	AF10|AFXL01000005.1_381930_382867	----------	A1163|DS499594.1_539118_540055	----------	----------	----------	JCM10253|BCGY01000006.1_405428_406365	----------	----------	----------	----------
7315	AF293|CM000173.1_3642654_3643160	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
7314	AF293|CM000173.1_3641718_3642512	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
4738	AF293|CM000171.1_4021239_4023465	----------	AF210|AFXM01000309.1_76383_78609	A1163|DS499596.1_39939_42165	Z5|KQ087376.1_201862_204088	----------	LMB35AA|MCQI02000143.1_13256_15482	JCM10253|BCGY01000009.1_35011_37237	ISSFT021|LWRT01000214.1_695905_698131	IF1SWF4|LWRU01000116.1_36853_39079	HMRAF706|NKHS01000118.1_42580_44806	HMRAF270|NKHT01000141.1_52400_54626
51	AF293|CM000169.1_177113_178590	----------	----------	A1163|DS499602.1_1541213_1542690	----------	----------	LMB35AA|MCQI02000045.1_57904_59251	----------	----------	----------	----------	----------
53	AF293|CM000169.1_183102_184079	AF10|AFXL01000004.1_122_1099	----------	A1163|DS499602.1_1547202_1548179	----------	RP2014|JHOI01000270.1_4116_5093	----------	----------	----------	----------	----------	HMRAF270|NKHT01000094.1_85282_86259
8185	AF293|CM000174.1_2235639_2236163	----------	----------	A1163|DS499601.1_1801018_1801542	----------	RP2014|JHOI01000326.1_15793_16317	----------	----------	----------	----------	----------	----------
10612	----------	----------	----------	A1163|DS499602.1_1461119_1463039	----------	----------	----------	----------	----------	----------	----------	----------
2143	AF293|CM000170.1_1371113_1372783	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10614	----------	----------	----------	A1163|DS499602.1_1469731_1472517	----------	----------	----------	----------	----------	----------	----------	----------
10724	----------	----------	----------	----------	Z5|KQ087367.1_114157_117383	----------	----------	----------	----------	----------	----------	----------
4991	AF293|CM000172.1_929719_931320	AF10|AFXL01000228.1_12824_14425	AF210|AFXM01000173.1_20114_21715	A1163|DS499603.1_438549_440150	Z5|KQ087365.1_1728062_1729663	RP2014|JHOI01000577.1_10016_11446	----------	JCM10253|BCGY01000003.1_213545_214452	ISSFT021|LWRT01000064.1_9147_10748	IF1SWF4|LWRU01000020.1_9134_10735	HMRAF706|NKHS01000359.1_9411_11012	HMRAF270|NKHT01000356.1_9332_10933
8971	AF293|CM000175.1_708448_709599	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
7528	AF293|CM000174.1_293477_294743	AF10|AFXL01000078.1_102269_103535	AF210|AFXM01000261.1_14752_16018	A1163|DS499602.1_1010676_1011942	Z5|KQ087373.1_997541_998807	RP2014|JHOI01000551.1_98630_99896	LMB35AA|MCQI02000079.1_342712_343978	JCM10253|BCGY01000010.1_1000484_1001750	ISSFT021|LWRT01000084.1_102292_103558	IF1SWF4|LWRU01000166.1_98032_99298	----------	HMRAF270|NKHT01000207.1_20073_21339
10487	----------	----------	----------	A1163|DS499596.1_4159229_4159773	----------	----------	----------	JCM10253|BCGY01000007.1_1949212_1949676	----------	IF1SWF4|LWRU01000197.1_100577_101041	HMRAF706|NKHS01000024.1_156878_157342	HMRAF270|NKHT01000147.1_29294_29758
374	AF293|CM000169.1_1140159_1141883	AF10|AFXL01000079.1_83292_85016	----------	A1163|DS499594.1_1212793_1214517	Z5|KQ087366.1_887994_889718	RP2014|JHOI01000615.1_36826_38546	LMB35AA|MCQI02000011.1_335124_336844	JCM10253|BCGY01000007.1_1085145_1086869	ISSFT021|LWRT01000193.1_77472_79196	IF1SWF4|LWRU01000044.1_81191_82915	HMRAF706|NKHS01000003.1_34280_36004	HMRAF270|NKHT01000022.1_136304_138028
1661	AF293|CM000170.1_4455_7180	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
10321	----------	----------	AF210|AFXM01000262.1_43913_44576	A1163|DS499602.1_1404186_1407117	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000147.1_37927_40858
10260	----------	----------	AF210|AFXM01000147.1_78455_79163	A1163|DS499596.1_3015889_3016980	Z5|KQ087374.1_121002_121710	----------	LMB35AA|MCQI02000147.1_56780_57425	----------	----------	----------	----------	----------
10323	----------	----------	AF210|AFXM01000262.1_47493_48198	A1163|DS499600.1_136682_137387	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000147.1_43772_44482
10322	----------	----------	AF210|AFXM01000262.1_46409_46845	A1163|DS499600.1_135598_136034	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000147.1_42688_43124
8031	AF293|CM000174.1_1784010_1786791	AF10|AFXL01000017.1_19398_22182	AF210|AFXM01000440.1_113997_116778	A1163|DS499599.1_441401_444185	Z5|KQ087358.1_487380_490166	----------	LMB35AA|MCQI02000165.1_324282_327178	JCM10253|BCGY01000009.1_831987_834774	ISSFT021|LWRT01000002.1_19357_22144	IF1SWF4|LWRU01000111.1_271839_274631	HMRAF706|NKHS01000334.1_4454_7237	HMRAF270|NKHT01000122.1_59014_61798
3326	AF293|CM000171.1_2590_4428	AF10|AFXL01000182.1_23693_25531	----------	A1163|DS499596.1_4117186_4119024	----------	----------	----------	JCM10253|BCGY01000011.1_1244633_1246471	ISSFT021|LWRT01000191.1_46638_48476	IF1SWF4|LWRU01000197.1_141323_143161	HMRAF706|NKHS01000024.1_114758_116596	----------
10737	----------	----------	----------	----------	Z5|KQ087372.1_6506_9425	----------	----------	----------	----------	----------	----------	----------
10042	----------	AF10|AFXL01000004.1_10363_10680	AF210|AFXM01000263.1_62758_63075	A1163|DS499600.1_179804_180121	Z5|KQ087364.1_265109_265426	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000188.1_5503_5820
10325	----------	----------	AF210|AFXM01000262.1_51477_52115	A1163|DS499600.1_140661_141299	----------	----------	----------	----------	----------	----------	----------	HMRAF270|NKHT01000147.1_47780_48418
9998	AF293|CM000176.1_1712213_1714417	AF10|AFXL01000230.1_1824_4028	AF210|AFXM01000328.1_22091_24294	A1163|DS499600.1_307805_310009	Z5|KQ087367.1_235833_238037	RP2014|JHOI01000477.1_5564_7768	LMB35AA|MCQI02000216.1_95819_98023	----------	ISSFT021|LWRT01000213.1_112002_114206	IF1SWF4|LWRU01000189.1_744400_746604	HMRAF706|NKHS01000289.1_5819_8023	HMRAF270|NKHT01000272.1_22284_24488
89	AF293|CM000169.1_379677_381627	AF10|AFXL01000086.1_82030_85437	----------	----------	Z5|KQ087375.1_467680_472417	----------	----------	JCM10253|BCGY01000006.1_1843187_1847924	----------	----------	----------	HMRAF270|NKHT01000200.1_29488_33277
9908	AF293|CM000176.1_1480372_1482179	AF10|AFXL01000005.1_366382_368189	----------	A1163|DS499599.1_1930898_1932705	----------	----------	----------	JCM10253|BCGY01000006.1_389886_391693	----------	----------	----------	----------
10825	----------	----------	----------	----------	----------	RP2014|JHOI01000484.1_8076_9525	LMB35AA|MCQI02000113.1_8158_9607	----------	----------	----------	----------	----------
9323	AF293|CM000175.1_1721648_1722776	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
82	AF293|CM000169.1_339357_342000	----------	----------	----------	Z5|KQ087375.1_431571_433559	----------	----------	JCM10253|BCGY01000006.1_1799354_1801997	----------	----------	----------	HMRAF270|NKHT01000105.1_7356_9999
9698	AF293|CM000176.1_897826_900076	AF10|AFXL01000003.1_22150_24400	AF210|AFXM01000441.1_116939_119189	A1163|DS499600.1_1034100_1036350	Z5|KQ087367.1_969757_972007	----------	LMB35AA|MCQI02000045.1_98444_100695	JCM10253|BCGY01000006.1_978515_980765	ISSFT021|LWRT01000273.1_25503_27753	IF1SWF4|LWRU01000189.1_22124_24374	HMRAF706|NKHS01000007.1_206857_209107	HMRAF270|NKHT01000010.1_23228_25478
81	AF293|CM000169.1_336864_337904	----------	----------	----------	Z5|KQ087375.1_428449_429547	----------	----------	JCM10253|BCGY01000006.1_1796987_1798085	----------	----------	----------	HMRAF270|NKHT01000105.1_11452_12492
5762	AF293|CM000172.1_3163749_3164530	----------	AF210|AFXM01000338.1_134_717	A1163|DS499598.1_1727840_1728621	Z5|KQ087375.1_1793009_1793592	RP2014|JHOI01000621.1_17984_18765	LMB35AA|MCQI02000093.1_584028_584809	JCM10253|BCGY01000003.1_2410204_2410787	ISSFT021|LWRT01000046.1_42950_43533	IF1SWF4|LWRU01000192.1_676752_677335	HMRAF706|NKHS01000171.1_379_962	HMRAF270|NKHT01000113.1_311_1092
10510	----------	----------	----------	A1163|DS499598.1_2249230_2253001	----------	----------	----------	----------	----------	----------	----------	----------
10124	----------	AF10|AFXL01000086.1_15841_17200	AF210|AFXM01000262.1_8092_9430	A1163|DS499600.1_96281_97640	Z5|KQ087364.1_489390_490728	----------	----------	----------	----------	----------	----------	----------
9910	AF293|CM000176.1_1484014_1487254	AF10|AFXL01000005.1_362747_364547	----------	A1163|DS499599.1_1934540_1937780	----------	----------	----------	JCM10253|BCGY01000006.1_384811_388051	----------	----------	----------	----------
11032	----------	----------	----------	----------	----------	----------	----------	----------	ISSFT021|LWRT01000078.1_115762_117997	----------	HMRAF706|NKHS01000017.1_175124_177320	----------
11030	----------	----------	----------	----------	----------	----------	----------	----------	ISSFT021|LWRT01000068.1_70_478	----------	----------	----------
10978	----------	----------	----------	----------	----------	----------	----------	JCM10253|BCGY01000014.1_30821_32492	----------	----------	----------	----------
